measnum,varname,strain,strainid,sex,mean,nmice,sd,sem,cv,minval,maxval,zscore
62011,jump,BXD92,1192,f,0,2,0,0,0,0,0,-0.48
62001,bw,BXD32,1132,m,26.1,10,1.76,0.556,0.0674,22.2,28.2,-0.28
62001,bw,BXD33,1133,m,23.8,1,0,0,0,23.8,23.8,-1.16
62001,bw,BXD34,1134,m,28.1,2,1.13,0.800,0.0403,27.3,28.9,0.48
62001,bw,BXD1,1101,f,21.9,2,1.13,0.800,0.0517,21.1,22.7,0.15
62001,bw,BXD100,1100,f,22.9,10,1.25,0.397,0.0549,21.3,25.0,0.63
62001,bw,BXD101,1091,f,21.1,6,0.900,0.368,0.0426,20.3,22.3,-0.24
62001,bw,BXD102,1092,f,23.6,10,2.23,0.706,0.0948,20.8,28.0,0.98
62001,bw,BXD11,1111,f,19.6,10,1.32,0.417,0.0673,17.5,21.5,-0.98
62001,bw,BXD13,1113,f,21.1,10,2.79,0.882,0.132,18.1,27.2,-0.24
62001,bw,BXD14,1114,f,22.4,10,1.94,0.615,0.0867,19.6,25.2,0.39
62001,bw,BXD15,1115,f,23.8,10,0.630,0.199,0.0264,22.9,24.6,1.07
62001,bw,BXD16,1116,f,25.3,10,2.13,0.672,0.0842,21.5,29.0,1.81
62001,bw,BXD18,1118,f,22.9,2,0.424,0.300,0.0185,22.6,23.2,0.63
62001,bw,BXD19,1119,f,21.7,2,0.707,0.500,0.0326,21.2,22.2,0.05
62001,bw,BXD2,1102,f,23.7,10,2.32,0.733,0.0979,22.0,29.8,1.03
62001,bw,BXD21,1121,f,24.1,10,1.19,0.376,0.0493,22.4,26.2,1.22
62001,bw,BXD27,1127,f,22.8,10,2.55,0.805,0.112,18.7,26.7,0.59
62001,bw,BXD28,1128,f,20.6,10,0.952,0.301,0.0462,19.3,21.9,-0.49
62001,bw,BXD31,1131,f,19.2,10,3.50,1.11,0.182,11.4,22.8,-1.17
62001,bw,BXD32,1132,f,21.8,10,1.04,0.330,0.0477,20.4,24.1,0.10
62001,bw,BXD33,1133,f,17.1,1,0,0,0,17.1,17.1,-2.20
62001,bw,BXD34,1134,f,21.3,2,1.13,0.800,0.0531,20.5,22.1,-0.15
62001,bw,BXD39,1139,f,22.2,10,2.32,0.734,0.105,19.1,27.5,0.29
62001,bw,BXD40,1140,f,20.5,10,0.975,0.308,0.0475,18.6,22.3,-0.54
62001,bw,BXD42,1142,f,19.0,10,2.09,0.662,0.110,15.2,21.4,-1.27
62001,bw,BXD43,1143,f,19.7,10,1.04,0.328,0.0527,17.8,20.9,-0.93
62001,bw,BXD44,1144,f,22.0,10,3.34,1.06,0.152,17.8,30.2,0.20
62001,bw,BXD48,1148,f,21.6,10,1.90,0.600,0.0881,19.3,24.8,0.00
62001,bw,BXD49,1149,f,22.4,10,1.32,0.418,0.0590,21.2,25.2,0.39
62001,bw,BXD50,1150,f,17.6,10,1.52,0.480,0.0863,15.6,20.3,-1.95
62001,bw,BXD51,1151,f,20.7,10,0.959,0.303,0.0463,19.6,22.3,-0.44
62001,bw,BXD6,1106,f,21.9,10,0.706,0.223,0.0323,20.4,22.9,0.15
62001,bw,BXD61,1161,f,22.5,10,1.49,0.471,0.0661,20.3,24.6,0.44
62001,bw,BXD62,1162,f,20.1,10,1.34,0.425,0.0670,18.3,22.8,-0.73
62001,bw,BXD65,1165,f,23.7,6,2.72,1.11,0.115,21.4,28.7,1.03
62001,bw,BXD66,1166,f,21.0,4,3.02,1.51,0.143,17.8,24.9,-0.29
62001,bw,BXD68,1168,f,22.7,4,3.69,1.84,0.163,18.4,27.1,0.54
62001,bw,BXD69,1169,f,20.4,10,1.37,0.434,0.0672,18.5,22.8,-0.59
62001,bw,BXD70,1170,f,20.9,10,1.52,0.482,0.0728,18.7,23.1,-0.34
62001,bw,BXD73,1173,f,19.5,10,1.62,0.513,0.0832,17.8,22.6,-1.03
62001,bw,BXD75,1175,f,20.6,10,1.95,0.616,0.0947,17.1,23.5,-0.49
62001,bw,BXD77,1177,f,26.4,4,0.624,0.312,0.0237,25.8,27.2,2.34
62001,bw,BXD8,1108,f,21.5,10,1.37,0.432,0.0636,19.9,23.8,-0.05
62001,bw,BXD80,1180,f,18.7,10,2.32,0.732,0.124,15.4,23.1,-1.42
62001,bw,BXD81,1181,f,21.6,10,2.74,0.866,0.127,17.4,25.5,0.00
62001,bw,BXD84,1184,f,20.7,10,0.634,0.200,0.0307,19.6,21.6,-0.44
62001,bw,BXD85,1185,f,26.0,4,2.42,1.21,0.0933,23.7,29.1,2.15
62001,bw,BXD86,1186,f,19.2,10,1.27,0.401,0.0659,17.0,20.9,-1.17
62001,bw,BXD87,1187,f,19.5,10,0.799,0.253,0.0410,18.5,20.7,-1.03
62001,bw,BXD89,1189,f,20.9,10,0.730,0.231,0.0349,20.1,22.3,-0.34
62001,bw,BXD90,1190,f,22.3,6,1.61,0.657,0.0723,20.4,24.4,0.34
62001,bw,BXD92,1192,f,26.8,2,3.04,2.15,0.114,24.6,28.9,2.54
62001,bw,BXD96,1196,f,24.8,10,1.47,0.466,0.0594,22.5,27.1,1.56
62001,bw,BXD97,1197,f,20.9,10,1.72,0.544,0.0824,18.6,24.4,-0.34
62001,bw,BXD98,1198,f,20.7,6,1.15,0.471,0.0558,19.9,23.0,-0.44
62001,bw,C57BL/6J,7,f,20.9,8,1.09,0.385,0.0522,19.1,22.4,-0.34
62001,bw,DBA/2J,8,f,19.6,10,1.13,0.358,0.0579,17.9,21.5,-0.98
62001,bw,BXD1,1101,m,24.2,2,0.778,0.550,0.0321,23.7,24.8,-1.01
62001,bw,BXD100,1100,m,28.3,10,1.71,0.541,0.0605,24.8,31.1,0.56
62001,bw,BXD101,1091,m,26.3,8,1.06,0.375,0.0403,25.2,27.9,-0.21
62001,bw,BXD102,1092,m,30.7,10,2.15,0.681,0.0701,27.2,34.1,1.47
62001,bw,BXD11,1111,m,25.7,10,0.974,0.308,0.0379,24.1,27.0,-0.43
62001,bw,BXD13,1113,m,29.6,10,3.40,1.07,0.115,25.4,35.8,1.05
62001,bw,BXD14,1114,m,28.6,10,0.959,0.303,0.0335,26.7,30.5,0.67
62001,bw,BXD15,1115,m,28.7,10,1.46,0.460,0.0507,26.4,30.6,0.71
62001,bw,BXD16,1116,m,30.7,10,1.18,0.374,0.0385,28.9,32.8,1.47
62001,bw,BXD18,1118,m,29.4,2,2.90,2.05,0.0988,27.3,31.4,0.97
62001,bw,BXD19,1119,m,25.3,2,0.990,0.700,0.0391,24.6,26.0,-0.59
62001,bw,BXD2,1102,m,28.5,10,2.45,0.776,0.0862,25.6,34.4,0.63
62001,bw,BXD21,1121,m,28.8,10,2.65,0.840,0.0923,24.7,33.7,0.75
62001,bw,BXD27,1127,m,25.3,10,2.34,0.741,0.0928,23.2,30.8,-0.59
62001,bw,BXD28,1128,m,27.0,10,1.83,0.578,0.0678,23.5,29.5,0.06
62001,bw,BXD31,1131,m,26.2,10,1.80,0.570,0.0687,24.1,28.9,-0.24
62001,bw,BXD39,1139,m,26.3,10,2.11,0.669,0.0804,23.0,28.7,-0.21
62001,bw,BXD40,1140,m,25.1,10,1.51,0.479,0.0604,22.8,27.4,-0.66
62001,bw,BXD42,1142,m,25.7,10,1.87,0.591,0.0727,22.6,27.9,-0.43
62001,bw,BXD43,1143,m,25.5,10,1.77,0.560,0.0695,22.1,28.1,-0.51
62001,bw,BXD44,1144,m,27.3,10,2.90,0.918,0.107,22.6,32.2,0.17
62001,bw,BXD48,1148,m,25.3,10,1.46,0.461,0.0577,22.9,28.4,-0.59
62001,bw,BXD49,1149,m,29.7,10,2.68,0.847,0.0902,27.0,34.4,1.09
62001,bw,BXD50,1150,m,24.0,10,1.65,0.521,0.0686,20.4,25.9,-1.08
62001,bw,BXD51,1151,m,28.0,10,1.62,0.512,0.0578,25.5,30.4,0.44
62001,bw,BXD6,1106,m,26.8,10,2.04,0.644,0.0759,21.7,29.4,-0.02
62001,bw,BXD61,1161,m,26.7,10,1.63,0.515,0.0609,23.6,28.4,-0.05
62001,bw,BXD62,1162,m,24.6,10,1.45,0.458,0.0590,22.1,26.9,-0.85
62001,bw,BXD65,1165,m,29.2,10,1.76,0.556,0.0602,27.2,32.8,0.90
62001,bw,BXD66,1166,m,23.0,4,3.35,1.67,0.145,20.5,27.9,-1.46
62001,bw,BXD68,1168,m,24.5,6,1.90,0.777,0.0777,22.3,27.4,-0.89
62001,bw,BXD69,1169,m,25.9,10,2.64,0.835,0.102,21.7,30.8,-0.36
62001,bw,BXD70,1170,m,26.4,10,1.43,0.451,0.0541,23.5,28.3,-0.17
62001,bw,BXD71,1171,m,23.4,2,1.77,1.25,0.0754,22.2,24.7,-1.31
62001,bw,BXD73,1173,m,26.1,10,1.46,0.460,0.0558,24.0,28.1,-0.28
62001,bw,BXD75,1175,m,26.1,10,1.31,0.413,0.0501,24.1,28.6,-0.28
62001,bw,BXD77,1177,m,33.3,4,2.04,1.02,0.0611,30.8,35.3,2.46
62001,bw,BXD8,1108,m,24.8,10,1.96,0.620,0.0789,22.9,29.3,-0.78
62001,bw,BXD80,1180,m,24.0,10,1.10,0.346,0.0456,22.0,25.8,-1.08
62001,bw,BXD81,1181,m,30.2,10,7.09,2.24,0.235,21.5,41.8,1.28
62001,bw,BXD84,1184,m,24.8,10,1.13,0.356,0.0454,23.4,27.3,-0.78
62001,bw,BXD85,1185,m,36.8,4,4.96,2.48,0.135,31.5,42.5,3.79
62001,bw,BXD86,1186,m,27.0,10,4.40,1.39,0.163,22.2,34.4,0.06
62001,bw,BXD87,1187,m,23.7,10,1.43,0.453,0.0605,22.1,26.7,-1.20
62001,bw,BXD89,1189,m,25.2,10,2.40,0.760,0.0952,21.3,28.9,-0.63
62001,bw,BXD90,1190,m,28.3,6,3.22,1.31,0.114,24.0,31.8,0.56
62001,bw,BXD92,1192,m,29.9,3,5.95,3.44,0.199,23.1,34.0,1.16
62001,bw,BXD96,1196,m,27.2,10,3.35,1.06,0.123,21.4,32.1,0.14
62001,bw,BXD97,1197,m,25.1,10,1.23,0.391,0.0493,23.1,26.5,-0.66
62001,bw,BXD98,1198,m,23.2,7,1.69,0.638,0.0726,20.2,25.3,-1.39
62001,bw,C57BL/6J,7,m,27.7,10,1.66,0.524,0.0599,25.7,30.4,0.33
62001,bw,DBA/2J,8,m,24.2,10,1.59,0.502,0.0657,21.5,26.6,-1.01
62003,center_time,BXD1,1101,f,39.0,2,7.07,5.00,0.181,34.0,44.0,0.70
62003,center_time,BXD100,1100,f,23.1,10,6.84,2.16,0.296,13.0,33.0,-0.98
62003,center_time,BXD101,1091,f,23.2,6,8.16,3.33,0.352,17.0,38.0,-0.97
62003,center_time,BXD102,1092,f,32.5,10,3.63,1.15,0.112,27.0,37.0,0.01
62003,center_time,BXD11,1111,f,24.3,10,10.7,3.38,0.440,11.0,38.0,-0.86
62003,center_time,BXD13,1113,f,28.6,10,13.4,4.25,0.469,7.00,56.0,-0.40
62003,center_time,BXD14,1114,f,46.8,10,11.2,3.54,0.239,24.0,63.0,1.53
62003,center_time,BXD15,1115,f,24.7,10,13.5,4.26,0.545,9.00,52.0,-0.81
62003,center_time,BXD16,1116,f,41.3,10,7.41,2.34,0.179,28.0,50.0,0.94
62003,center_time,BXD18,1118,f,32.0,2,4.24,3.00,0.133,29.0,35.0,-0.04
62003,center_time,BXD19,1119,f,32.0,2,4.24,3.00,0.133,29.0,35.0,-0.04
62003,center_time,BXD2,1102,f,28.8,10,10.3,3.24,0.356,13.0,43.0,-0.38
62003,center_time,BXD21,1121,f,32.9,10,8.88,2.81,0.270,21.0,47.0,0.05
62003,center_time,BXD27,1127,f,25.8,10,14.8,4.69,0.575,9.00,58.0,-0.70
62003,center_time,BXD28,1128,f,28.8,10,9.37,2.96,0.325,17.0,49.0,-0.38
62003,center_time,BXD31,1131,f,26.1,10,11.4,3.59,0.435,10.0,44.0,-0.67
62003,center_time,BXD32,1132,f,28.9,10,12.3,3.90,0.426,14.0,54.0,-0.37
62003,center_time,BXD33,1133,f,52.0,1,0,0,0,52.0,52.0,2.08
62003,center_time,BXD34,1134,f,37.5,2,3.54,2.50,0.0943,35.0,40.0,0.54
62003,center_time,BXD39,1139,f,24.9,10,9.77,3.09,0.392,8.00,40.0,-0.79
62003,center_time,BXD40,1140,f,46.9,10,19.3,6.09,0.411,26.0,77.0,1.54
62003,center_time,BXD42,1142,f,32.7,10,8.65,2.74,0.265,15.0,43.0,0.03
62003,center_time,BXD43,1143,f,29.1,10,8.41,2.66,0.289,10.0,42.0,-0.35
62003,center_time,BXD44,1144,f,21.6,10,7.59,2.40,0.351,10.0,34.0,-1.14
62003,center_time,BXD48,1148,f,41.7,10,9.04,2.86,0.217,26.0,52.0,0.99
62003,center_time,BXD49,1149,f,31.4,10,11.4,3.59,0.362,14.0,55.0,-0.10
62003,center_time,BXD50,1150,f,29.0,10,4.16,1.32,0.144,22.0,35.0,-0.36
62003,center_time,BXD51,1151,f,13.9,10,6.08,1.92,0.438,8.00,27.0,-1.96
62003,center_time,BXD6,1106,f,22.4,10,9.07,2.87,0.405,6.00,34.0,-1.06
62003,center_time,BXD61,1161,f,23.2,10,5.29,1.67,0.228,18.0,33.0,-0.97
62003,center_time,BXD62,1162,f,38.0,10,19.4,6.14,0.511,14.0,81.0,0.59
