ImageId,Label
0,6
1,9
2,3
3,1
4,9
5,4
6,1
7,0
8,2
9,1
10,9
11,5
12,2
13,9
14,9
15,6
16,6
17,1
18,9
19,4
20,6
21,6
22,3
23,1
24,9
25,1
26,6
27,3
28,0
29,8
30,8
31,1
32,6
33,9
34,6
35,2
36,6
37,6
38,6
39,7
40,9
41,9
42,6
43,8
44,9
45,1
46,9
47,9
48,9
49,7
50,1
51,9
52,7
53,9
54,9
55,7
56,9
57,8
58,9
59,6
60,6
61,8
62,0
63,3
64,0
65,8
66,6
67,1
68,4
69,4
70,6
71,5
72,1
73,1
74,5
75,5
76,0
77,9
78,2
79,9
80,5
81,2
82,8
83,8
84,5
85,3
86,0
87,6
88,7
89,9
90,4
91,0
92,0
93,7
94,8
95,9
96,0
97,4
98,3
99,1
100,9
101,3
102,6
103,8
104,8
105,8
106,8
107,6
108,3
109,2
110,5
111,3
112,7
113,9
114,7
115,3
116,6
117,3
118,3
119,9
120,0
121,6
122,2
123,8
124,1
125,9
126,9
127,7
128,0
129,0
130,9
131,5
132,6
133,8
134,9
135,1
136,3
137,3
138,2
139,2
140,1
141,8
142,7
143,1
144,1
145,3
146,7
147,8
148,0
149,9
150,6
151,2
152,0
153,0
154,9
155,4
156,9
157,2
158,9
159,4
160,4
161,6
162,0
163,2
164,9
165,3
166,0
167,0
168,3
169,5
170,3
171,6
172,9
173,9
174,3
175,7
176,1
177,1
178,3
179,2
180,0
181,5
182,4
183,7
184,6
185,2
186,7
187,8
188,6
189,0
190,1
191,1
192,9
193,1
194,6
195,6
196,3
197,9
198,5
199,8
200,3
201,3
202,3
203,9
204,9
205,6
206,3
207,9
208,3
209,2
210,9
211,8
212,0
213,0
214,8
215,6
216,3
217,7
218,1
219,1
220,6
221,3
222,2
223,8
224,3
225,2
226,9
227,6
228,0
229,9
230,5
231,3
232,8
233,3
234,9
235,1
236,8
237,3
238,1
239,6
240,9
241,8
242,8
243,9
244,8
245,9
246,8
247,0
248,8
249,2
250,7
251,9
252,6
253,8
254,6
255,0
256,7
257,4
258,1
259,2
260,0
261,5
262,3
